Month,Date,Hour,Minute,temp_avg,light_avg,humidity_avg,latitude,longitude,Result
12,15,17,20,16.8,4.2,65.6,-37.8199043,144.9404851,Does not need irrigation
12,15,17,25,16.5,12.7,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,17,30,16.8,4.2,66,-37.8199043,144.9404851,Does not need irrigation
12,15,17,35,16.1,6.7,66.3,-37.8203537,144.9404816,Does not need irrigation
12,15,17,35,16.5,12.7,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,17,40,16.8,4.2,66.1,-37.8199043,144.9404851,Does not need irrigation
12,15,17,45,16.1,6.8,67.2,-37.8203537,144.9404816,Does not need irrigation
12,15,17,45,16.5,12.6,61.1,-37.8195002,144.9418888,Does not need irrigation
12,15,17,50,16.5,4.2,65.8,-37.8199043,144.9404851,Does not need irrigation
12,15,17,55,15.8,6.8,67.1,-37.8203537,144.9404816,Does not need irrigation
12,15,18,0,16.5,3.3,66.3,-37.8199043,144.9404851,Does not need irrigation
12,15,18,5,16.1,12.9,61.5,-37.8195002,144.9418888,Does not need irrigation
12,15,18,10,16.5,3.7,66.9,-37.8199043,144.9404851,Does not need irrigation
12,15,18,15,15.8,7.4,68,-37.8203537,144.9404816,Does not need irrigation
12,15,18,25,16.5,6.4,67.2,-37.8199043,144.9404851,Does not need irrigation
12,15,18,25,15.8,9.9,68,-37.8203537,144.9404816,Does not need irrigation
12,15,18,30,16.1,18.6,62.2,-37.8195002,144.9418888,Does not need irrigation
12,15,18,35,16.5,19.6,66.7,-37.8199043,144.9404851,Does not need irrigation
12,15,18,35,15.5,22.7,68.9,-37.8203537,144.9404816,Does not need irrigation
12,15,18,45,16.1,48.4,67.2,-37.8199043,144.9404851,Does not need irrigation
12,15,18,45,15.8,48.8,68.9,-37.8203537,144.9404816,Does not need irrigation
12,15,18,55,16.1,71.5,67.7,-37.8199043,144.9404851,Does not need irrigation
12,15,19,0,15.8,80.4,62.3,-37.8195002,144.9418888,Does not need irrigation
12,15,19,5,16.1,81,67.4,-37.8199043,144.9404851,Does not need irrigation
12,15,19,15,16.5,86.6,68,-37.8199043,144.9404851,Does not need irrigation
12,15,19,15,15.8,83.4,68.8,-37.8203537,144.9404816,Does not need irrigation
12,15,19,25,16.5,89,67.7,-37.8199043,144.9404851,Does not need irrigation
12,15,19,25,16.1,86,67.5,-37.8203537,144.9404816,Does not need irrigation
12,15,19,35,16.1,90.1,67.1,-37.8199043,144.9404851,Does not need irrigation
12,15,19,45,16.1,91.1,68,-37.8199043,144.9404851,Does not need irrigation
12,15,19,50,16.8,88.9,66.6,-37.8203537,144.9404816,Does not need irrigation
12,15,19,55,16.1,92.7,67.7,-37.8199043,144.9404851,Does not need irrigation
12,15,20,5,16.1,92.7,67.8,-37.8199043,144.9404851,Does not need irrigation
12,15,20,10,19.7,92.5,58.4,-37.8203537,144.9404816,Does not need irrigation
12,15,20,15,16.5,93,67.2,-37.8199043,144.9404851,Does not need irrigation
12,15,20,25,16.5,93.2,66.9,-37.8199043,144.9404851,Does not need irrigation
12,15,20,35,16.8,93.4,66.6,-37.8199043,144.9404851,Does not need irrigation
12,15,20,40,16.5,94.1,61.1,-37.8195002,144.9418888,Does not need irrigation
12,15,20,45,16.8,93.4,66,-37.8199043,144.9404851,Does not need irrigation
12,15,20,50,16.8,94.1,60.9,-37.8195002,144.9418888,Does not need irrigation
12,15,21,0,23.9,95.5,51.3,-37.8203537,144.9404816,Does not need irrigation
12,15,21,5,17.4,93.8,64.5,-37.8199043,144.9404851,Does not need irrigation
12,15,21,10,23.9,95.3,50.5,-37.8203537,144.9404816,Does not need irrigation
12,15,21,10,17.4,94.3,58.7,-37.8195002,144.9418888,Does not need irrigation
12,15,21,15,17.7,93.7,64.1,-37.8199043,144.9404851,Does not need irrigation
12,15,21,20,26.1,95.6,47.8,-37.8203537,144.9404816,Need irrigation
12,15,21,20,17.4,94.5,57.9,-37.8195002,144.9418888,Does not need irrigation
12,15,21,30,18.1,93.8,63.7,-37.8199043,144.9404851,Does not need irrigation
12,15,21,30,17.7,94.6,57.8,-37.8195002,144.9418888,Does not need irrigation
12,15,21,40,18.1,93.9,62.2,-37.8199043,144.9404851,Does not need irrigation
12,15,21,40,26.8,95.6,46.1,-37.8203537,144.9404816,Need irrigation
12,15,21,40,18.1,94.8,57.1,-37.8195002,144.9418888,Does not need irrigation
12,15,21,50,18.7,94.1,63,-37.8199043,144.9404851,Does not need irrigation
12,15,22,0,18.4,94.3,63.4,-37.8199043,144.9404851,Does not need irrigation
12,15,22,0,25.8,94.7,48.9,-37.8203537,144.9404816,Need irrigation
12,15,22,5,18.4,95.4,57.8,-37.8195002,144.9418888,Does not need irrigation
12,15,22,10,18.1,94.6,63.9,-37.8199043,144.9404851,Does not need irrigation
12,15,22,15,18.4,95.4,57.8,-37.8195002,144.9418888,Does not need irrigation
12,15,22,20,18.4,95.1,63.9,-37.8199043,144.9404851,Does not need irrigation
12,15,22,40,19,95.7,61.5,-37.8199043,144.9404851,Does not need irrigation
12,15,22,50,19.7,96.2,60.6,-37.8199043,144.9404851,Does not need irrigation
12,15,22,50,19,92.1,58.5,-37.8203537,144.9404816,Does not need irrigation
12,15,22,55,19,95.2,55.9,-37.8195002,144.9418888,Does not need irrigation
12,15,23,0,20,96.4,59.3,-37.8199043,144.9404851,Does not need irrigation
12,15,23,0,19.7,92.3,57.6,-37.8203537,144.9404816,Does not need irrigation
12,15,23,10,20,96.5,59.6,-37.8199043,144.9404851,Does not need irrigation
12,15,23,20,20.3,96.5,58.2,-37.8199043,144.9404851,Does not need irrigation
12,15,23,30,20.3,96.5,56.8,-37.8199043,144.9404851,Does not need irrigation
12,15,23,35,20.3,94.2,55.1,-37.8203537,144.9404816,Does not need irrigation
12,15,23,35,21,97.2,51.1,-37.8195002,144.9418888,Does not need irrigation
12,15,23,40,23.5,97.2,51.9,-37.8199043,144.9404851,Does not need irrigation
12,15,23,45,22.6,95.6,52.4,-37.8203537,144.9404816,Does not need irrigation
12,15,23,45,25.8,97.8,43.4,-37.8195002,144.9418888,Need irrigation
12,15,23,50,24.5,97.2,49.2,-37.8199043,144.9404851,Need irrigation
12,15,23,55,24.8,96.3,47.8,-37.8203537,144.9404816,Need irrigation
12,16,0,0,27.4,97.2,45.6,-37.8199043,144.9404851,Need irrigation
12,16,0,5,22.6,96.1,48.6,-37.8203537,144.9404816,Need irrigation
12,16,0,5,25.8,97.9,41,-37.8195002,144.9418888,Need irrigation
12,16,0,10,26.8,97.3,45.1,-37.8199043,144.9404851,Need irrigation
12,16,0,15,24.8,96.7,47,-37.8203537,144.9404816,Need irrigation
12,16,0,15,26.5,97.9,39.9,-37.8195002,144.9418888,Need irrigation
12,16,0,20,26.5,97.5,42.5,-37.8199043,144.9404851,Need irrigation
12,16,0,45,26.8,97.4,41.8,-37.8199043,144.9404851,Need irrigation
12,16,0,45,27.7,96.9,41.7,-37.8203537,144.9404816,Need irrigation
12,16,0,45,27.7,98,38.7,-37.8195002,144.9418888,Need irrigation
12,16,0,55,27.4,97.5,40.4,-37.8199043,144.9404851,Need irrigation
12,16,0,55,27.1,98,39.3,-37.8195002,144.9418888,Need irrigation
12,16,1,5,28.1,96.9,41.2,-37.8203537,144.9404816,Need irrigation
12,16,1,15,26.5,97.3,41.5,-37.8199043,144.9404851,Need irrigation
12,16,1,15,27.4,96.9,40.4,-37.8203537,144.9404816,Need irrigation
12,16,1,25,25.8,98.2,41.5,-37.8199043,144.9404851,Need irrigation
12,16,1,35,27.1,97.4,40.3,-37.8199043,144.9404851,Need irrigation
12,16,1,35,28.1,97,37.7,-37.8203537,144.9404816,Need irrigation
12,16,1,45,26.8,97.4,36.3,-37.8199043,144.9404851,Need irrigation
12,16,1,45,27.4,97,36.3,-37.8203537,144.9404816,Need irrigation
